EAN;Menor preço (R$);Origem;Produto;Link
7896676433425;47.99;Drogal;Tobracin 3mg/g Latinofarma Pomada Oftálmica 3,5g;https://www.drogal.com.br/tobracin-3mgg-latinofarma-pomada-oftalmica-35g/p
7896641813061;158.49;Drogal;Mesacol 500mg 15 Supositórios;https://www.drogal.com.br/mesacol-500mg-15-supositorios/p
7908236800568;536.39;Drogal;Efexor XR 150mg 30 Cápsulas Duras Liberação Prolongada;https://www.drogal.com.br/efexor-xr-150mg-30-capsulas-gelatinosas-duras/p
7899026417885;33.69;Drogal;Shampoo Elseve Colorvive 400ml;https://www.drogal.com.br/shampoo-elseve-colorvive-400ml/p
7896112416418;17.09;Drogal;Ecasil 81mg 30 Comprimidos Revestidos;https://www.drogal.com.br/ecasil-81mg-30-comprimidos-revestidos/p
7612412156003;41.09;Drogal;Escova Dental Curaprox 1560 Soft 1 Unidade;https://www.drogal.com.br/escova-dental-curaprox-1560-soft-1-unidade/p
7898089300042;42.29;Drogal;Pílulas Imescard 10 + 10 + 10 + 30mg caixa com 36 drágeas;https://www.drogal.com.br/imescard-pilulas-c36/p
7891040346226;8.49;Drogal;Curativo Nexcare Transparente 10 Unidades;https://www.drogal.com.br/curativo-nexcare-transparente-10-unidades/p
7891150081086;38.35;Drogal;Condicionador Dove Poder das Plantas Purificação + Gengibre 300ml;https://www.drogal.com.br/condicionador-dove-poder-das-plantas-purificacao-gengibre-300ml/p
7894222043128;10.77;Drogaven;ESMALTE DAILUS DAI GOODS IOGURTE CREMOSO;https://www.drogaven.com.br/esmalte-dailus-dai-goods-iogurte-cremoso/p
7896637035460;171.39;Drogal;Dobeven 500mg 60 Cápsulas Gelatinosas Duras;https://www.drogal.com.br/dobeven-500mg-60-capsulas-gelatinosas-duras/p
7894222043067;10.89;Drogal;Esmalte Cremoso Dailus Dai Goods Fru Fru 8ml;https://www.drogal.com.br/esmalte-cremoso-dailus-dai-goods-fru-fru-8ml/p
7896006201687;9.89;Drogal;Neovlar 21 Comprimidos Revestidos;https://www.drogal.com.br/neovlar-21-comprimidos-revestidos/p
7896658049262;36.66;Drogal;Citalopram 20mg Biosintética 30 Comprimidos Revestidos;https://www.drogal.com.br/citalopram-20mg-biosintetica-30-comprimidos-revestidos/p
7891182994088;6.89;Drogal;Esmalte Risqué Nude Metálico Ouro Nude 8ml;https://www.drogal.com.br/esmalte-risque-nude-metalico-ouro-nude-8ml/p
7896094922105;27.89;Drogal;Nebacetin Pomada 15g;https://www.drogal.com.br/nebacetin-pomada-250uig-bisnaga-15g/p
7891106915595;178.89;Drogal;Firialta 10mg 28 Comprimidos Revestidos;https://www.drogal.com.br/firialta-10mg-28-comprimidos-revestidos/p
7891350036701;23.19;Drogal;Creme Modelador Capilar Bozzano Ação Condicionante 140g;https://www.drogal.com.br/creme-modelador-capilar-bozzano-140mg/p
7896094919709;12.9;Drogal;Suplemento Alimentar Engov After Sabor Tangerina 250ml;https://www.drogal.com.br/engov-after-tangerina-250ml/p
7891058000295;35.09;Drogal;Suplemento Alimentar Targifor Cewin 500mg 30 Comprimidos de Liberação Prolongada;https://www.drogal.com.br/suplemento-alimentar-targifor-cewin-500mg-30-comprimidos-de-liberacao-prolongada/p
7891033554447;50.59;Drogal;Tônico Capilar Eudora Siàge Dermo Hair Resistência Antiqueda 100ml;https://www.drogal.com.br/tonico-capilar-eudora-siage-dermo-hair-resistencia-antiqueda-100ml/p
7896009499012;24.49;Drogal;Suplemento Alimentar Centrum Essencial 30 Comprimidos;https://www.drogal.com.br/suplemento-alimentar-centrum-essencial-30-comprimidos/p
7891033519354;18.59;Drogal;Condicionador de Glicerina Pampers 200ml;https://www.drogal.com.br/condicionador-de-glicerina-pampers-200ml/p
7896230304550;5.79;Drogal;Soro Fisiológico ADV 100ml;https://www.drogal.com.br/soro-fisiologico-adv-100ml/p
7896094207844;30.79;Drogal;Ancoron 100mg 30 Comprimidos Revestidos;https://www.drogal.com.br/ancoron-100mg-30-cpr/p
4006000058931;85.55;Drogal;Creme Corporal Antimarcas Nivea Luminous 630 Pele Uniforme 200ml;https://www.drogal.com.br/creme-corporal-antimarcas-nivea-luminous-630-pele-uniforme-200ml/p
7891150017351;18.45;Drogal;Shampoo Dove Nutrição + Fusão de Óleos 200ml;https://www.drogal.com.br/shampoo-dove-nutricao-fusao-de-oleos-200ml/p
7896044954538;12.99;Drogal;Loção Hidratante Desodorante Giovanna Baby Blue 200ml;https://www.drogal.com.br/locao-hidratante-desodorante-giovanna-baby-blue-200ml/p
7896094211407;160.89;Drogal;Libiam 1,25mg 84 Comprimidos;https://www.drogal.com.br/libiam-125mg-84-comprimidos/p
7891010245603;14.09;Drogal;Absorvente Interno Sempre Livre O.B Procomfort Médio 8 Unidades;https://www.drogal.com.br/absorvente-interno-ob-procomfort-medio-8-unidades/p
7897947612266;19.25;Drogal;Gel Refrescante Pós-Sol Calamed Com Aloe Vera 120g;https://www.drogal.com.br/gel-refrescante-pos-sol-calamed-com-aloe-vera-120g/p
5702150152176;436.69;Drogal;Rexulti 2mg 30 Comprimidos;https://www.drogal.com.br/rexulti-2mg-30-comprimidos/p
7891317007614;55.89;Drogal;Iban 150mg 1 Comprimido;https://www.drogal.com.br/iban-150mg-1-comprimido/p
7896004713274;76.0;Drogal;Gabapentina 300mg Germed 30 Cápsulas Duras;https://www.drogal.com.br/gabapentina-300mg-germed-30-capsulas-duras/p
7896111995303;6.39;Drogal;Esmalte Cremoso Impala A Cor da Sua Moda Admire 7,5ml;https://www.drogal.com.br/esmalte-cremoso-impala-a-cor-da-sua-moda-admire-75ml/p
